age,income,city,signup_time
58.0,37392.01,jeddah,2023-04-09 00:00:00+00:00
67.0,9141.96,dammam,2023-04-09 12:00:00+00:00
45.0,12189.99,riyadh,2023-04-10 00:00:00+00:00
61.0,7945.68,dammam,2023-04-10 12:00:00+00:00
53.0,19250.58,dammam,2023-04-11 00:00:00+00:00
22.0,513434.80000000005,mecca,2023-04-11 12:00:00+00:00
26.0,46685.02,dammam,2023-04-12 00:00:00+00:00
67.0,22857.79,dammam,2023-04-12 12:00:00+00:00
51.0,49727.22,riyadh,2023-04-13 00:00:00+00:00
18.0,11047.39,riyadh,2023-04-13 12:00:00+00:00
23.0,9398.53,mecca,2023-04-14 00:00:00+00:00
45.0,21423.12,riyadh,2023-04-14 12:00:00+00:00
18.0,26689.69,unknown,2023-04-15 00:00:00+00:00
26.0,21669.32,riyadh,2023-04-15 12:00:00+00:00
48.0,7834.4,riyadh,2023-04-16 00:00:00+00:00
56.0,21066.51,unknown,2023-04-16 12:00:00+00:00
54.0,11473.16,dammam,2023-04-17 00:00:00+00:00
30.0,21480.07,riyadh,2023-04-17 12:00:00+00:00
57.0,26457.61,jeddah,2023-04-18 00:00:00+00:00
31.0,13767.42,mecca,2023-04-18 12:00:00+00:00
36.0,17035.7,jeddah,2023-04-19 00:00:00+00:00
59.0,12969.99,unknown,2023-04-19 12:00:00+00:00
54.0,21346.87,riyadh,2023-04-20 00:00:00+00:00
65.0,35510.05,riyadh,2023-04-20 12:00:00+00:00
54.0,13455.42,mecca,2023-04-21 00:00:00+00:00
49.0,28339.82,riyadh,2023-04-21 12:00:00+00:00
23.0,16896.66,riyadh,2023-04-22 00:00:00+00:00
38.0,14817.49,mecca,2023-04-22 12:00:00+00:00
32.0,20878.7,riyadh,2023-04-23 00:00:00+00:00
31.0,13126.37,riyadh,2023-04-23 12:00:00+00:00
45.0,16700.19,mecca,2023-04-24 00:00:00+00:00
39.0,12101.21,unknown,2023-04-24 12:00:00+00:00
67.0,58827.37,riyadh,2023-04-25 00:00:00+00:00
53.0,513434.80000000005,riyadh,2023-04-25 12:00:00+00:00
62.0,15523.92,unknown,2023-04-26 00:00:00+00:00
45.0,24513.76,riyadh,2023-04-26 12:00:00+00:00
50.0,20823.47,dammam,2023-04-27 00:00:00+00:00
45.0,19722.5,dammam,2023-04-27 12:00:00+00:00
28.0,29943.97,dammam,2023-04-28 00:00:00+00:00
58.0,32168.85,riyadh,2023-04-28 12:00:00+00:00
33.0,16894.6,riyadh,2023-04-29 00:00:00+00:00
19.0,16516.1,unknown,2023-04-29 12:00:00+00:00
53.0,19196.33,riyadh,2023-04-30 00:00:00+00:00
27.0,6967.69,unknown,2023-04-30 12:00:00+00:00
45.0,10325.84,unknown,2023-05-01 00:00:00+00:00
45.0,43627.25,riyadh,2023-05-01 12:00:00+00:00
68.0,50135.46,dammam,2023-05-02 00:00:00+00:00
38.0,19447.66,jeddah,2023-05-02 12:00:00+00:00
18.0,21480.07,riyadh,2023-05-03 00:00:00+00:00
69.0,25735.46,riyadh,2023-05-03 12:00:00+00:00
41.0,102686.96,dammam,2023-05-04 00:00:00+00:00
45.0,38552.93,jeddah,2023-05-04 12:00:00+00:00
45.0,20661.79,jeddah,2023-05-05 00:00:00+00:00
65.0,13660.04,riyadh,2023-05-05 12:00:00+00:00
34.0,9865.28,mecca,2023-05-06 00:00:00+00:00
39.0,24385.2,riyadh,2023-05-06 12:00:00+00:00
65.0,15090.56,jeddah,2023-05-07 00:00:00+00:00
35.0,10816.99,riyadh,2023-05-07 12:00:00+00:00
27.0,15942.02,riyadh,2023-05-08 00:00:00+00:00
48.0,12825.95,dammam,2023-05-08 12:00:00+00:00
45.0,51203.89,mecca,2023-05-09 00:00:00+00:00
56.0,34228.7,riyadh,2023-05-09 12:00:00+00:00
49.0,21480.07,unknown,2023-05-10 00:00:00+00:00
23.0,21480.07,dammam,2023-05-10 12:00:00+00:00
45.0,22895.24,jeddah,2023-05-11 00:00:00+00:00
45.0,14319.22,jeddah,2023-05-11 12:00:00+00:00
25.0,47172.3,dammam,2023-05-12 00:00:00+00:00
46.0,28838.17,riyadh,2023-05-12 12:00:00+00:00
45.0,13113.23,jeddah,2023-05-13 00:00:00+00:00
59.0,20026.88,mecca,2023-05-13 12:00:00+00:00
56.0,14216.96,riyadh,2023-05-14 00:00:00+00:00
57.0,11032.49,mecca,2023-05-14 12:00:00+00:00
37.0,34999.49,jeddah,2023-05-15 00:00:00+00:00
45.0,57222.84,unknown,2023-05-15 12:00:00+00:00
62.0,10945.86,riyadh,2023-05-16 00:00:00+00:00
63.0,29187.17,riyadh,2023-05-16 12:00:00+00:00
45.0,15909.61,dammam,2023-05-17 00:00:00+00:00
68.0,17265.01,dammam,2023-05-17 12:00:00+00:00
46.0,16379.78,unknown,2023-05-18 00:00:00+00:00
45.0,21480.07,riyadh,2023-05-18 12:00:00+00:00
62.0,22567.38,riyadh,2023-05-19 00:00:00+00:00
54.0,14538.05,unknown,2023-05-19 12:00:00+00:00
56.0,25215.86,dammam,2023-05-20 00:00:00+00:00
62.0,21480.07,dammam,2023-05-20 12:00:00+00:00
67.0,19546.0,riyadh,2023-05-21 00:00:00+00:00
36.0,13991.68,mecca,2023-05-21 12:00:00+00:00
38.0,16508.23,jeddah,2023-05-22 00:00:00+00:00
23.0,32134.83,dammam,2023-05-22 12:00:00+00:00
50.0,28295.52,riyadh,2023-05-23 00:00:00+00:00
19.0,13510.5,riyadh,2023-05-23 12:00:00+00:00
43.0,23148.06,dammam,2023-05-24 00:00:00+00:00
48.0,21480.07,mecca,2023-05-24 12:00:00+00:00
33.0,9559.56,mecca,2023-05-25 00:00:00+00:00
50.0,28902.41,unknown,2023-05-25 12:00:00+00:00
19.0,15814.59,riyadh,2023-05-26 00:00:00+00:00
45.0,29298.73,unknown,2023-05-26 12:00:00+00:00
63.0,21480.07,riyadh,2023-05-27 00:00:00+00:00
38.0,8933.46,jeddah,2023-05-27 12:00:00+00:00
25.0,9761.77,jeddah,2023-05-28 00:00:00+00:00
47.0,513434.80000000005,riyadh,2023-05-28 12:00:00+00:00
60.0,25080.88,unknown,2023-05-29 00:00:00+00:00
29.0,14014.41,dammam,2023-05-29 12:00:00+00:00
52.0,30311.92,unknown,2023-05-30 00:00:00+00:00
22.0,9597.33,dammam,2023-05-30 12:00:00+00:00
